FACTORID,SCC,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAP_TO,POLLUTANT,NEI_POLLUTANT_CODE,CAS,FACTOR,UNIT,MEASURE,MATERIAL,ACTION,FORMULA,CONTROL_1,CONTROLCODE_1,CONTROL_2,CONTROLCODE_2,CONTROL_3,CONTROLCODE_3,CONTROL_4,CONTROLCODE_4,CONTROL_5,CONTROLCODE_5,REF_DESC,NOTES,QUALITY,TEST_REPORT_RATING,CREATED,REVOKED,DUPCOUNT,DUPREASON,DATE_CSV_UPDATED,CONDITION,VARIABLE_DEFINITION,APPLICABILITY,DERIVATION
8085,10300101,External Combustion Boilers                           ,Commercial/Institutional                              ,Anthracite Coal                                                       ,Pulverized Coal                                                       ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,Tons,Anthracite,Burned,3.90E+01*CS,UNCONTROLLED,0,,,,,,,,,"EPA.  1996.  Section 1.2, Anthracite Coal Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.", Multiply the emission factor provided by the weight percent sulfur content of the fuel to obtain emission factor in lb/activity units.  ,B,,1/1/1996,,0,,4/18/2022,,CS=Coal sulfur content (weight %),,
28121,10200218,External Combustion Boilers                           ,Industrial                                                            ,Bituminous/Subbituminous Coal                                         ,Atmospheric Fluidized Bed Combustion: Circulating Bed (Bitum. Coal)   ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,Tons,Bituminous Coal,Burned,3.10E+01*CS,UNCONTROLLED,0,,,,,,,,,"EPA.  September, 1998.  Section 1.1, Bituminous and Subbituminous Coal Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42, Supplement E.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",,E,,3/30/2022,,0,,4/18/2022,,CS=Coal sulfur content (weight %),This formula applies to FBCs that do not use calcium-based sorbents where the bed material is inert with respect to sulfur capture.,
24137,50200101,Waste Disposal                                        ,Solid Waste Disposal - Commercial/Institutional       ,Incineration                                                          ,Multiple Chamber                                                      ,50600103,Sulfur oxides (SOx),,   ,2.5,Lb,Tons,Solid Waste,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"This factor was present in AIRS Facility Subsystem Source Classification Codes and Emission Factor Listing for Criteria Air Pollutants, March 1990, EPA 450/4-90-003.  ","This factor may have been (and may still be) in an AP-42 section, or it may have been added to that March 1990 document from other sources.  Please check the latest AP42 to verify.",A,80,3/1/1990,,0,,4/18/2022,,,,
24142,50200104,Waste Disposal                                        ,Solid Waste Disposal - Commercial/Institutional       ,Incineration                                                          ,Conical Design (Tee Pee) Municipal Refuse                             ,50600101,Sulfur oxides (SOx),,   ,2,Lb,Tons,Refuse,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"This factor was present in AIRS Facility Subsystem Source Classification Codes and Emission Factor Listing for Criteria Air Pollutants, March 1990, EPA 450/4-90-003.  ","This factor may have been (and may still be) in an AP-42 section, or it may have been added to that March 1990 document from other sources.  Please check the latest AP42 to verify.",B,60,3/1/1990,,0,,4/18/2022,,,,
25586,2104008053,Stationary Source Fuel Combustion                     ,Residential                                           ,Wood                                                                  ,Non-catalytic Woodstoves: Pellet Fired                                ,2104008400,Sulfur oxides (SOx),,   ,0.4,Lb,Tons,Wood,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"EPA.  1995.  Section 1.10, Residential Wood Stoves.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",,B,60,1/1/1995,,0,,4/18/2022,,,,
24646,50300104,Waste Disposal                                        ,Solid Waste Disposal - Industrial                     ,Incineration                                                          ,Conical Design (Tee Pee) Municipal Refuse                             ,,Sulfur oxides (SOx),,   ,2,Lb,Tons,Refuse,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"This factor was present in AIRS Facility Subsystem Source Classification Codes and Emission Factor Listing for Criteria Air Pollutants, March 1990, EPA 450/4-90-003.  ","This factor may have been (and may still be) in an AP-42 section, or it may have been added to that March 1990 document from other sources.  Please check the latest AP42 to verify.",B,60,3/1/1990,,0,,4/18/2022,,,,
24148,50200105,Waste Disposal                                        ,Solid Waste Disposal - Commercial/Institutional       ,Incineration                                                          ,Conical Design (Tee Pee) Wood Refuse                                  ,50600101,Sulfur oxides (SOx),,   ,0.1,Lb,Tons,Wood Refuse,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"This factor was present in AIRS Facility Subsystem Source Classification Codes and Emission Factor Listing for Criteria Air Pollutants, March 1990, EPA 450/4-90-003.  ","This factor may have been (and may still be) in an AP-42 section, or it may have been added to that March 1990 document from other sources.  Please check the latest AP42 to verify.",B,60,3/1/1990,,0,,4/18/2022,,,,
25569,2104008051,Stationary Source Fuel Combustion                     ,Residential                                           ,Wood                                                                  ,Non-catalytic Woodstoves: Non-EPA certified                           ,2104008310,Sulfur oxides (SOx),,   ,0.4,Lb,Tons,Wood,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"EPA.  1995.  Section 1.10, Residential Wood Stoves.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",,B,60,1/1/1995,,0,,4/18/2022,,,,
24166,50200301,Waste Disposal                                        ,Solid Waste Disposal - Commercial/Institutional       ,Apartment Incineration                                                ,Flue Fed                                                              ,50600301,Sulfur oxides (SOx),,   ,0.5,Lb,Tons,Solid Waste,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"This factor was present in AIRS Facility Subsystem Source Classification Codes and Emission Factor Listing for Criteria Air Pollutants, March 1990, EPA 450/4-90-003.  ","This factor may have been (and may still be) in an AP-42 section, or it may have been added to that March 1990 document from other sources.  Please check the latest AP42 to verify.",A,80,3/1/1990,,0,,4/18/2022,,,,
24158,50200202,Waste Disposal                                        ,Solid Waste Disposal - Commercial/Institutional       ,Open Burning                                          ,Refuse                                                                ,,Sulfur oxides (SOx),,   ,1,Lb,Tons,Refuse,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,Emission factor based on one value from State A.,,B,60,,,0,,4/18/2022,,,,Emission factor based on one value from State A.
3181,10100902,External Combustion Boilers                           ,Electric Generation                                   ,Wood/Bark Waste                                                       ,Wood/Bark Fired Boiler                                                ,,Sulfur oxides (SOx),,  ,0.075,Lb,Tons,Wood/Bark,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"EPA.  October 1992.  Section 1.6, Wood Waste Combustion in Boilers.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fourth Edition, Supplement E, AP-42.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",,B,,10/1/1992,2/1/1998,0,,4/18/2022,,,,
2501,10100602,External Combustion Boilers                           ,Electric Generation                                   ,Natural Gas                                                           ,Boilers < 100 Million Btu/hr except Tangential                        ,,Sulfur oxides (SOx),,  ,0.6,Lb,Million Standard Cubic Feet,Natural Gas,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"EPA.  October 1992.  Section 1.4, Natural Gas Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fourth Edition, Supplement E, AP-42.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",,A,,10/1/1992,3/1/1998,0,,9/28/2021,,,,
20,10100101,External Combustion Boilers                           ,Electric Generation                                   ,Anthracite Coal                                                       ,Pulverized Coal                                                       ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,Tons,Anthracite,Burned,3.90E+01*CS,UNCONTROLLED,0,,,,,,,,,"EPA.  1996.  Section 1.2, Anthracite Coal Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.","To determine EF in lb/ton, multiply the EF provided by the weight percent sulfur (CS).",B,,1/1/1996,,0,,4/18/2022,,CS=Coal sulfur content (weight %),,
107,10100201,External Combustion Boilers                           ,Electric Generation                                   ,Bituminous/Subbituminous Coal                                         ,Pulverized Coal: Wet Bottom (Bituminous Coal)                         ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,Tons,Bituminous Coal,Burned,3.80E+01*CS,UNCONTROLLED,0,,,,,,,,,"EPA.  September, 1998.  Section 1.1, Bituminous and Subbituminous Coal Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42, Supplement E.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",Multiply the emission factor provided by the wt. % sulfur content of the fuel to obtain emission factor in lb/activity units.  ,A,,9/1/1998,,0,,4/18/2022,,CS=Coal sulfur content (weight %),,"Expressed as SO2, including SO2, SO3, and gaseous sulfates.  "
48,10100102,External Combustion Boilers                           ,Electric Generation                                   ,Anthracite Coal                                                       ,Traveling Grate (Overfeed) Stoker                                     ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,Tons,Anthracite,Burned,3.90E+01*CS,UNCONTROLLED,0,,,,,,,,,"EPA.  1996.  Section 1.2, Anthracite Coal Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.","To determine EF in lb/ton, multiply the EF provided by the weight percent sulfur (CS).",B,,1/1/1996,,0,,4/18/2022,,CS=Coal sulfur content (weight %),,
2598,10100701,External Combustion Boilers                           ,Electric Generation                                   ,Process Gas                                                           ,Boilers > 100 Million Btu/hr                                          ,,Sulfur oxides (SOx),,   ,3.5,Lb,Million Standard Cubic Feet,Process Gas,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,Roy Huntley - EPA response to question in an email dated 5/30/03,,U,5,9/1/2004,,0,,8/13/2021,,,,
2575,10100604,External Combustion Boilers                           ,Electric Generation                                   ,Natural Gas                                                           ,Tangentially Fired Units                                              ,,Sulfur oxides (SOx),,  ,0.6,Lb,Million Standard Cubic Feet,Natural Gas,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"EPA.  September 1985.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fourth Edition with Supplements A, B, and C, AP-42.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",,A,,9/1/1985,3/1/1998,0,,9/28/2021,,,,
284,10100202,External Combustion Boilers                           ,Electric Generation                                   ,Bituminous/Subbituminous Coal                                         ,Pulverized Coal: Dry Bottom (Bituminous Coal)                         ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,Tons,Bituminous Coal,Burned,3.80E+01*CS,UNCONTROLLED,0,,,,,,,,,"EPA.  September, 1998.  Section 1.1, Bituminous and Subbituminous Coal Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42, Supplement E.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",Multiply the emission factor provided by the wt. % sulfur content of the fuel to obtain emission factor in lb/activity units.  ,A,,9/1/1998,,0,,4/18/2022,,CS=Coal sulfur content (weight %), Factor is for Pre-NSPS and Post-NSPS boilers. ,"Expressed as SO2, including SO2, SO3, and gaseous sulfates.  "
2897,10100901,External Combustion Boilers                           ,Electric Generation                                   ,Wood/Bark Waste                                                       ,Bark-fired Boiler                                                     ,,Sulfur oxides (SOx),,  ,0.075,Lb,Tons,Bark,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"EPA.  October 1992.  Section 1.6, Wood Waste Combustion in Boilers.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fourth Edition, Supplement E, AP-42.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",,B,,10/1/1992,2/1/1998,0,,4/18/2022,,,,
637,10100217,External Combustion Boilers                           ,Electric Generation                                   ,Bituminous/Subbituminous Coal                                         ,Atmospheric Fluidized Bed Combustion: Bubbling Bed (Bituminous Coal)  ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,Tons,Bituminous Coal,Burned,3.96E+01*CS*(MR)^-1.9,UNCONTROLLED,0,,,,,,,,,"EPA.  September, 1998.  Section 1.1, Bituminous and Subbituminous Coal Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42, Supplement E.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",,E,,9/1/1998,,0,,4/18/2022,1.5<MR<7,CS=Coal sulfur content (weight %); MR=Molar ratio of calcium to sulfur in the fluidized bed,This formula applies to FBCs where the Ca/S ratio in the fluidized bed is between 1.5 and 7.,
664,10100303,External Combustion Boilers                           ,Electric Generation                                   ,Lignite                                                               ,Cyclone Furnace                                                       ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,Tons,Lignite,Burned,3.00E+01*CS,UNCONTROLLED,0,,,,,,,,,"EPA.  September, 1998.  Section 1.7, Lignite Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42, Supplement E.  U.S.Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.","To determine EF in lb/ton, multiply the EF by the wt. % sulfur content of lignite, wet basis.  ",C,,9/1/1998,,0,,4/18/2022,,CS=Coal sulfur content (weight %),,
772,10100212,External Combustion Boilers                           ,Electric Generation                                   ,Bituminous/Subbituminous Coal                                         ,Pulverized Coal: Dry Bottom (Tangential) (Bituminous Coal)            ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,Tons,Bituminous Coal,Burned,3.80E+01*CS,UNCONTROLLED,0,,,,,,,,,"EPA.  September, 1998.  Section 1.1, Bituminous and Subbituminous Coal Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42, Supplement E.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",Multiply the emission factor provided by the wt. % sulfur content of the fuel to obtain emission factor in lb/activity units.  ,A,,9/1/1998,,0,,4/18/2022,,CS=Coal sulfur content (weight %),,"Expressed as SO2, including SO2, SO3, and gaseous sulfates.  "
1251,10100224,External Combustion Boilers                           ,Electric Generation                                   ,Bituminous/Subbituminous Coal                                         ,Spreader Stoker (Subbituminous Coal)                                  ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,Tons,Subbituminous Coal,Burned,3.50E+01*CS,UNCONTROLLED,0,,,,,,,,,"EPA.  September, 1998.  Section 1.1, Bituminous and Subbituminous Coal Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42, Supplement E.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",Multiply the emission factor provided by the wt. % sulfur content of the fuel to obtain emission factor in lb/activity units.  ,B,,9/1/1998,,0,,4/18/2022,,CS=Coal sulfur content (weight %),,"Expressed as SO2, including SO2, SO3, and gaseous sulfates.  "
426,10100203,External Combustion Boilers                           ,Electric Generation                                   ,Bituminous/Subbituminous Coal                                         ,Cyclone Furnace (Bituminous Coal)                                     ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,Tons,Bituminous Coal,Burned,3.80E+01*CS,UNCONTROLLED,0,,,,,,,,,"EPA.  September, 1998.  Section 1.1, Bituminous and Subbituminous Coal Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42, Supplement E.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",Multiply the emission factor provided by the wt. % sulfur content of the fuel to obtain emission factor in lb/activity units.  ,A,,9/1/1998,,0,,4/18/2022,,CS=Coal sulfur content (weight %),,"Expressed as SO2, including SO2, SO3, and gaseous sulfates.  "
773,10100212,External Combustion Boilers                           ,Electric Generation                                   ,Bituminous/Subbituminous Coal                                         ,Pulverized Coal: Dry Bottom (Tangential) (Bituminous Coal)            ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,Tons,Bituminous Coal,Burned,3.80E+01*CS,LOW NOX BURNER (LNB),205,,,,,,,,,"EPA.  September, 1998.  Section 1.1, Bituminous and Subbituminous Coal Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42, Supplement E.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",Multiply the emission factor provided by the wt. % sulfur content of the fuel to obtain emission factor in lb/activity units.  ,A,,9/1/1998,,0,,4/18/2022,,CS=Coal sulfur content (weight %), Factor is for Pre-NSPS boilers.  ,"Expressed as SO2, including SO2, SO3, and gaseous sulfates.  "
785,10100215,External Combustion Boilers                           ,Electric Generation                                   ,Bituminous/Subbituminous Coal                                         ,Cell Burner (Bituminous Coal)                                         ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,Tons,Bituminous Coal,Burned,3.80E+01*CS,UNCONTROLLED,0,,,,,,,,,"EPA.  September, 1998.  Section 1.1, Bituminous and Subbituminous Coal Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42, Supplement E.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",Multiply the emission factor provided by the wt. % sulfur content of the fuel to obtain emission factor in lb/activity units.  ,A,,9/1/1998,,0,,4/18/2022,,CS=Coal sulfur content (weight %),,"Expressed as SO2, including SO2, SO3, and gaseous sulfates.  "
285,10100202,External Combustion Boilers                           ,Electric Generation                                   ,Bituminous/Subbituminous Coal                                         ,Pulverized Coal: Dry Bottom (Bituminous Coal)                         ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,Tons,Bituminous Coal,Burned,3.80E+01*CS,LOW NOX BURNER (LNB),205,,,,,,,,,"EPA.  September, 1998.  Section 1.1, Bituminous and Subbituminous Coal Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42, Supplement E.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",Multiply the emission factor provided by the wt. % sulfur content of the fuel to obtain emission factor in lb/activity units.  ,A,,9/1/1998,,0,,4/18/2022,,CS=Coal sulfur content (weight %),Factor is for Pre-NSPS boilers.  ,"Expressed as SO2, including SO2, SO3, and gaseous sulfates.  "
511,10100204,External Combustion Boilers                           ,Electric Generation                                   ,Bituminous/Subbituminous Coal                                         ,Spreader Stoker (Bituminous Coal)                                     ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,Tons,Bituminous Coal,Burned,3.80E+01*CS,UNCONTROLLED,0,,,,,,,,,"EPA.  September, 1998.  Section 1.1, Bituminous and Subbituminous Coal Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42, Supplement E.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",Multiply the emission factor provided by the wt. % sulfur content of the fuel to obtain emission factor in lb/activity units.  ,B,,9/1/1998,,0,,4/18/2022,,CS=Coal sulfur content (weight %),,"Expressed as SO2, including SO2, SO3, and gaseous sulfates.  "
1290,10100225,External Combustion Boilers                           ,Electric Generation                                   ,Bituminous/Subbituminous Coal                                         ,Traveling Grate (Overfeed) Stoker (Subbituminous Coal)                ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,Tons,Subbituminous Coal,Burned,3.50E+01*CS,UNCONTROLLED,0,,,,,,,,,"EPA.  September, 1998.  Section 1.1, Bituminous and Subbituminous Coal Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42, Supplement E.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",Multiply the emission factor provided by the wt. % sulfur content of the fuel to obtain emission factor in lb/activity units.  ,B,,9/1/1998,,0,,4/18/2022,,CS=Coal sulfur content (weight %),,"Expressed as SO2, including SO2, SO3, and gaseous sulfates.  "
2616,10100702,External Combustion Boilers                           ,Electric Generation                                   ,Process Gas                                                           ,Boilers < 100 Million Btu/hr                                          ,,Sulfur oxides (SOx),,   ,3.5,Lb,Million Standard Cubic Feet,Process Gas,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,Roy Huntley - EPA response to question in an email dated 5/30/03,,U,5,9/1/2004,,0,,8/13/2021,,,,
3740,10100910,External Combustion Boilers                           ,Electric Generation                                   ,Wood/Bark Waste                                                       ,Fuel cell/Dutch oven boilers **                                       ,,Sulfur oxides (SOx),,   ,0.075,Lb,Tons,Wood/Bark,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"EPA.  February, 1999.  Section 1.6, Wood Waste Combustion In Boilers.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42, Supplement E.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",Units are lb of pollutant/ton of wood waste burned.  ,B,60,2/1/1998,9/14/2021,0,,4/18/2022,,,,"Emission factors are based on wet, as-fired wood waste with average properties of 50 weight% moisture and 4500 Btu/lb higher heating value.  SOx emissions ranged from 0.01-0.2 lb of SOx/ton of wood waste burned."
1198,10100223,External Combustion Boilers                           ,Electric Generation                                   ,Bituminous/Subbituminous Coal                                         ,Cyclone Furnace (Subbituminous Coal)                                  ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,Tons,Subbituminous Coal,Burned,3.50E+01*CS,UNCONTROLLED,0,,,,,,,,,"EPA.  September, 1998.  Section 1.1, Bituminous and Subbituminous Coal Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42, Supplement E.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",Multiply the emission factor provided by the wt. % sulfur content of the fuel to obtain emission factor in lb/activity units.  ,A,,9/1/1998,,0,,4/18/2022,,CS=Coal sulfur content (weight %),,"Expressed as SO2, including SO2, SO3, and gaseous sulfates.  "
568,10100211,External Combustion Boilers                           ,Electric Generation                                   ,Bituminous/Subbituminous Coal                                         ,Wet Bottom (Tangential) (Bituminous Coal)                             ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,Tons,Bituminous Coal,Burned,3.80E+01*CS,UNCONTROLLED,0,,,,,,,,,"EPA.  September, 1998.  Section 1.1, Bituminous and Subbituminous Coal Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42, Supplement E.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",Multiply the emission factor provided by the wt. % sulfur content of the fuel to obtain emission factor in lb/activity units.  ,A,,9/1/1998,,0,,4/18/2022,,CS=Coal sulfur content (weight %),,"Expressed as SO2, including SO2, SO3, and gaseous sulfates.  "
972,10100221,External Combustion Boilers                           ,Electric Generation                                   ,Bituminous/Subbituminous Coal                                         ,Pulverized Coal: Wet Bottom (Subbituminous Coal)                      ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,Tons,Subbituminous Coal,Burned,3.50E+01*CS,UNCONTROLLED,0,,,,,,,,,"EPA.  September, 1998.  Section 1.1, Bituminous and Subbituminous Coal Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42, Supplement E.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",Multiply the emission factor provided by the wt. % sulfur content of the fuel to obtain emission factor in lb/activity units.  ,A,,9/1/1998,,0,,4/18/2022,,CS=Coal sulfur content (weight %),,"Expressed as SO2, including SO2, SO3, and gaseous sulfates.  "
3757,10100912,External Combustion Boilers                           ,Electric Generation                                   ,Wood/Bark Waste                                                       ,Fluidized bed combustion boilers                                      ,,Sulfur oxides (SOx),,   ,0.075,Lb,Tons,Wood/Bark,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"EPA.  February, 1999.  Section 1.6, Wood Waste Combustion In Boilers.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42, Supplement E.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",Units are lb of pollutant/ton of wood waste burned.  ,B,60,2/1/1998,9/14/2021,0,,4/18/2022,,,,"Emission factors are based on wet, as-fired wood waste with average properties of 50 weight% moisture and 4500 Btu/lb higher heating value.  SOx emissions ranged from 0.01-0.2 lb of SOx/ton of wood waste burned."
3749,10100911,External Combustion Boilers                           ,Electric Generation                                   ,Wood/Bark Waste                                                       ,Stoker boilers **                                                     ,,Sulfur oxides (SOx),,   ,0.075,Lb,Tons,Wood/Bark,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"EPA.  February, 1999.  Section 1.6, Wood Waste Combustion In Boilers.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42, Supplement E.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",Units are lb of pollutant/ton of wood waste burned.  ,B,60,2/1/1998,9/14/2021,0,,4/18/2022,,,,"Emission factors are based on wet, as-fired wood waste with average properties of 50 weight% moisture and 4500 Btu/lb higher heating value.  SOx emissions ranged from 0.01-0.2 lb of SOx/ton of wood waste burned."
862,10100505,External Combustion Boilers                           ,Electric Generation                                   ,Distillate Oil                                                        ,Grade 4 Oil: Tangential Firing                                        ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,1000 Gallons,Distillate Oil (No. 4),Burned,1.546E+02*FS,UNCONTROLLED,0,,,,,,,,,"EPA.  1995.  Section 1.3, Fuel Oil Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",Multiply the emission factor provided by the weight percent sulfur content of the fuel to obtain emission factor in lb/activity units.,A,,1/1/1995,9/1/1998,0,,4/18/2022,,FS=Fuel sulfur content (weight %),,
557,10100205,External Combustion Boilers                           ,Electric Generation                                   ,Bituminous/Subbituminous Coal                                         ,Traveling Grate (Overfeed) Stoker (Bituminous Coal)                   ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,Tons,Bituminous Coal,Burned,3.80E+01*CS,UNCONTROLLED,0,,,,,,,,,"EPA.  September, 1998.  Section 1.1, Bituminous and Subbituminous Coal Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42, Supplement E.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",Multiply the emission factor provided by the wt. % sulfur content of the fuel to obtain emission factor in lb/activity units.  ,B,,9/1/1998,,0,,4/18/2022,,CS=Coal sulfur content (weight %),,"Expressed as SO2, including SO2, SO3, and gaseous sulfates.  "
